Symbol,P/B,P/E,Forward P/E,PEG,Debt/Eq,EPS (ttm),Dividend %,ROE,ROI,EPS Q/Q,Insider Own,Beta,Profit Margin,Avg Volume,Short Float / Ratio
MMSI,3.35,52.0,21.32,4.73,0.17,1.29,,6.8,5.9,61.1,1.9,1.0,6.5,272900.0,"(1.17, 2.39)"
MMYT,3.22,,47.16,,0.27,,,-2.4,-2.6,101.0,85.4,1.24,-3.9,330140.0,"(4.05, 5.88)"
MNDY,9.41,,,,0.0,,,-20.8,-23.5,95.3,19.97,,-26.4,709780.0,"(9.97, 4.29)"
MNST,7.46,44.89,28.36,1.75,0.0,2.23,,17.3,17.1,-4.9,0.3,0.85,18.9,1980000.0,"(1.29, 2.43)"
MORN,6.54,114.33,28.44,7.15,0.92,1.63,0.8,5.7,4.8,-94.0,28.1,1.2,3.8,96030.0,"(1.07, 2.82)"
MPWR,13.69,53.74,31.18,3.81,0.0,9.05,0.82,29.4,26.3,62.8,3.9,1.14,24.4,543380.0,"(6.22, 5.23)"
MQ,1.56,,,,0.0,,,-12.2,-15.0,28.8,4.34,,-24.7,5870000.0,"(4.26, 3.42)"
MRCY,1.75,,21.17,,0.33,,,-0.3,1.2,-308.4,2.1,1.02,-0.4,365960.0,"(3.8, 5.89)"
MRNA,3.0,7.41,,,0.06,19.96,,46.3,40.6,-68.1,2.4,1.71,43.4,4990000.0,"(4.52, 3.14)"
MRTX,2.26,,,,0.0,,,-66.0,-76.3,5.7,0.5,1.09,,1510000.0,"(16.25, 5.85)"
MRVL,2.07,,16.55,,0.29,,0.63,-1.1,-0.1,-347.0,0.2,1.47,-2.8,11610000.0,"(2.02, 1.48)"
MSFT,10.33,28.23,23.63,2.35,0.35,8.99,1.07,39.3,31.3,-11.5,0.06,0.91,33.0,31430000.0,"(0.46, 1.09)"
MSTR,,,,,,,,,-71.3,-160.4,0.08,2.44,,588200.0,"(34.56, 5.49)"
MTCH,,28.06,13.51,1.7,,1.24,,-88.6,14.5,144.6,0.4,1.09,11.4,4520000.0,"(3.41, 2.09)"
MTSI,5.63,14.85,21.45,0.99,0.7,4.64,,46.3,22.8,-78.8,1.0,1.86,47.5,415270.0,"(3.94, 4.91)"
MU,1.19,9.78,40.01,,0.21,5.51,0.85,12.6,15.4,-108.8,0.2,1.41,22.8,14400000.0,"(1.68, 1.27)"
MXL,3.82,21.22,9.26,1.41,0.0,1.55,,20.9,16.4,9.2,1.8,1.93,11.2,532070.0,"(8.0, 10.92)"
NARI,7.61,,334.01,,0.0,,,-7.0,-7.5,-590.4,1.4,,-7.6,819860.0,"(5.87, 3.29)"
NATI,5.52,46.23,16.85,7.98,0.47,1.06,2.29,12.0,9.7,0.6,0.4,1.2,8.4,1860000.0,"(2.94, 2.05)"
NAVI,0.7,3.55,5.1,0.48,22.47,4.41,4.08,22.0,0.9,,2.8,1.57,44.2,997640.0,"(6.16, 7.72)"
NBIX,5.33,61.28,19.5,2.57,0.1,1.54,,10.2,6.4,,0.3,0.5,10.4,816270.0,"(2.68, 3.11)"
NCNO,2.29,,60.14,,0.06,,,-8.5,-4.3,-50.4,2.0,,-23.7,587730.0,"(4.97, 9.23)"
NDAQ,4.15,22.98,17.79,4.15,0.88,2.26,1.54,18.9,10.5,-4.7,0.3,0.99,18.1,2290000.0,"(1.57, 2.34)"
NDSN,4.92,24.57,21.58,1.89,0.42,8.58,1.23,21.8,18.6,-11.6,0.4,0.92,19.2,285420.0,"(2.55, 4.56)"
NEOG,1.26,410.45,301.0,41.05,0.3,0.04,,-1.1,5.3,-293.3,0.1,0.99,-2.6,2530000.0,"(5.86, 5.0)"
NFE,4.98,33.29,5.4,0.46,3.53,0.93,0.65,10.9,14.5,-55.4,0.2,1.62,8.2,1810000.0,"(5.05, 2.72)"
NFLX,6.29,32.12,20.35,2.01,0.69,9.14,,23.1,12.8,-189.8,1.44,1.28,14.2,8090000.0,"(1.85, 1.01)"
NICE,4.26,50.6,21.54,4.23,0.22,4.0,,9.1,6.9,41.2,0.57,0.86,12.2,231270.0,"(3.62, 9.96)"
NMIH,1.1,6.26,5.33,0.43,0.25,3.41,,18.9,16.1,24.0,0.3,1.29,56.0,375100.0,"(1.34, 2.94)"
NOVT,8.9,69.75,40.14,19.93,0.76,2.06,,13.5,8.8,10.4,0.6,1.3,8.6,123360.0,"(4.07, 11.66)"
NSIT,2.85,17.62,11.99,2.37,0.39,7.66,,17.5,14.1,26.5,0.6,1.57,2.7,251300.0,"(4.56, 6.02)"
NTAP,12.03,10.59,10.9,1.41,2.17,5.79,3.26,135.6,28.8,-73.0,0.2,1.18,19.9,1750000.0,"(2.35, 2.87)"
NTCT,0.97,36.32,13.54,20.4,0.1,0.75,,2.8,1.7,13.0,1.3,0.7,6.1,461720.0,"(3.1, 4.65)"
NTES,3.61,19.5,14.77,2.65,0.26,4.3,2.14,19.9,11.0,-29.4,45.0,0.48,21.1,1780000.0,"(1.09, 3.95)"
NTLA,2.52,,,,0.0,,,-48.7,-37.1,-27.8,6.23,1.89,,1190000.0,"(10.7, 6.81)"
NTNX,,,47.92,,,,,63.0,-103.8,77.7,0.5,1.39,-29.1,1940000.0,"(3.37, 3.9)"
NTRA,8.16,,,,0.51,,,-106.7,-50.8,7.9,1.5,1.18,-66.8,1500000.0,"(6.4, 4.66)"
NTRS,1.65,13.39,10.88,3.03,13.38,6.14,3.65,12.4,0.9,-62.8,0.2,1.11,17.1,1050000.0,"(1.77, 3.47)"
NUVA,2.32,66.01,15.27,3.91,1.03,0.59,,4.8,4.3,147.2,0.31,1.08,3.4,1210000.0,"(8.71, 3.75)"
NVCR,16.2,,,,1.28,,,-21.0,-10.0,-39.5,1.0,0.85,-17.2,1020000.0,"(8.39, 8.58)"
NVDA,25.6,131.91,39.14,6.9,0.5,1.74,0.07,18.7,13.3,-51.6,0.4,1.75,16.2,48520000.0,"(1.65, 0.8)"
NVEE,2.17,31.09,16.4,2.07,0.08,3.27,,7.5,7.2,-48.7,1.2,1.21,6.4,101700.0,"(2.64, 3.21)"
NVEI,1.96,69.83,14.06,2.04,0.26,0.54,,2.9,2.2,-23.2,0.1,,6.7,386000.0,"(6.38, 10.78)"
NVMI,4.64,21.54,19.25,0.67,0.33,4.4,,26.0,16.8,55.6,1.7,1.24,24.6,100080.0,"(2.12, 6.05)"
NWE,1.23,17.32,15.65,3.85,0.99,3.24,4.56,7.3,5.0,18.9,0.6,0.46,12.4,383180.0,"(1.73, 2.58)"
NWL,1.4,25.04,8.64,33.61,1.53,0.47,7.78,5.2,5.5,-67.5,0.2,0.95,2.1,4680000.0,"(6.3, 5.54)"
NWS,1.12,31.52,,,,0.5,1.27,,,-71.5,40.2,,,897070.0,"(2.24, 2.89)"
NWSA,1.11,30.59,21.08,,0.37,0.51,1.28,3.7,6.7,-70.7,0.1,1.33,2.9,2630000.0,"(1.56, 2.94)"
NWTN,3.15,,,,0.17,,,-10.0,,-301.4,4.07,,,110730.0,"(6.07, 2.04)"
NXPI,6.1,16.57,12.64,1.66,0.0,10.56,2.32,39.8,17.5,23.2,0.1,1.53,21.1,2029999.9999999998,"(2.38, 3.03)"
NXST,2.27,6.88,5.52,0.34,2.54,24.16,3.25,33.9,11.3,-14.2,0.3,1.51,18.6,357730.0,"(5.38, 5.41)"
ODFL,9.94,27.02,24.68,1.83,0.03,12.18,0.49,38.6,36.7,21.0,12.63,1.09,22.0,814610.0,"(4.95, 5.85)"
ODP,1.62,12.61,10.79,1.03,0.15,3.68,,11.5,12.1,22.3,0.4,1.8,2.0,422720.0,"(13.44, 12.32)"
OKTA,2.34,,69.26,,0.4,,,-15.0,-10.8,38.7,0.2,1.1,-43.9,2900000.0,"(3.82, 2.0)"
OLED,5.09,31.13,27.62,2.56,0.0,4.4,1.02,17.5,16.4,41.7,1.0,1.4,33.9,335320.0,"(2.18, 2.82)"
OLK,6.47,,245.78,,0.02,,,-3.1,-6.7,168.4,69.81,,-9.2,161940.0,"(8.21, 18.08)"
OLLI,2.5,35.26,22.19,4.7,0.0,1.5,,7.2,12.2,2.0,0.1,0.97,5.3,886990.0,"(10.69, 7.05)"
OLPX,3.38,11.47,12.2,,0.85,0.35,,35.0,19.9,-51.2,0.1,,34.7,2800000.0,"(3.49, 8.06)"
OMAB,9.74,18.04,12.13,6.01,1.27,4.41,5.03,43.8,16.7,35.7,51.5,1.32,29.3,56940.0,"(0.13, 0.8)"
OMCL,2.06,532.24,20.37,37.48,0.5,0.1,,0.5,0.3,-328.2,0.8,0.9,0.4,519059.99999999994,"(5.99, 5.08)"
ON,5.43,18.29,15.11,1.05,0.52,4.25,,34.2,20.8,41.4,0.1,1.75,22.8,7030000.0,"(6.09, 3.73)"
ONB,0.91,11.05,7.22,1.38,0.36,1.39,3.66,8.5,16.0,98.2,0.3,0.85,28.5,1720000.0,"(2.7, 4.53)"
ONEM,,,,,,,,,,,,,,,
OPCH,4.01,37.05,26.98,3.71,0.77,0.82,,11.5,7.6,-37.5,0.1,1.14,3.8,1240000.0,"(2.36, 2.96)"
ORLY,,24.43,19.93,2.34,,33.49,,-234.8,70.3,9.5,0.6,0.88,15.1,476900.0,"(1.5, 1.92)"
OTEX,2.34,30.25,8.1,,1.26,1.18,2.73,7.9,6.0,195.7,2.3,1.05,9.0,683240.0,"(1.6, 6.24)"
OTTR,2.32,10.03,19.91,1.11,0.68,6.78,2.57,24.9,15.5,-18.7,1.99,0.52,19.5,401600.0,"(7.84, 7.97)"
OZK,0.97,7.93,6.24,0.66,0.25,4.54,3.78,12.8,18.2,15.1,0.1,1.42,43.2,999620.0,"(5.8, 7.03)"
PAA,1.11,10.34,8.44,1.19,1.09,1.19,8.69,10.8,8.9,-46.8,0.2,1.67,1.5,4340000.0,"(4.0, 4.16)"
PAAS,1.61,,18.08,,0.1,,2.38,-14.1,-12.4,,1.6,1.18,-22.9,3730000.0,"(17.4, 9.8)"
PACB,3.51,,,,1.59,,,-48.2,-21.0,-18.8,0.8,1.64,,4190000.0000000005,"(11.16, 5.49)"
PACW,0.33,2.89,2.69,0.29,0.36,3.37,10.26,11.4,23.9,-74.3,1.1,1.49,25.5,2190000.0,"(3.58, 1.89)"
PAGP,1.64,14.9,6.94,,5.54,0.87,8.29,11.0,13.9,-47.6,0.2,1.6,0.3,2680000.0,"(4.57, 3.23)"
PANW,77.14,2414.29,39.86,79.01,5.05,0.08,,7.7,-6.4,180.0,1.4,1.18,0.6,4560000.0,"(6.73, 4.39)"
PARA,0.55,18.91,11.25,2.01,0.69,1.03,4.95,4.6,5.1,-110.1,0.2,1.66,3.5,11640000.0,"(15.33, 7.7)"
PARAA,,,,,,,,,,,,,,,
PAX,3.86,22.98,7.71,0.88,0.0,0.63,8.5,17.1,15.5,234.7,0.84,,35.9,161850.0,"(1.61, 5.14)"
PAYX,12.19,26.8,23.9,3.46,0.25,4.04,2.92,46.1,36.2,8.7,10.7,0.97,30.4,1680000.0,"(2.9, 5.56)"
PCAR,4.25,13.81,12.7,53.74,0.87,5.17,1.4,23.7,12.4,18.2,1.4,0.92,10.4,3310000.0,"(1.26, 1.97)"
PCH,1.7,10.04,30.14,2.01,0.46,4.77,3.76,16.2,11.2,-91.7,0.6,1.19,25.1,434090.0,"(3.19, 5.83)"
PCTY,14.49,103.78,32.48,5.19,0.0,1.7,,15.6,15.0,58.3,26.2,1.09,9.6,422480.0,"(5.97, 5.76)"
PCVX,3.13,,,,0.0,,,-43.8,,-82.6,0.6,,,713920.0,"(6.84, 6.92)"
PDCE,1.44,3.4,3.61,0.13,0.33,18.5,2.54,50.1,33.1,-20.7,1.0,2.54,46.2,856390.0,"(5.1, 5.25)"
PDCO,2.31,13.05,11.16,2.8,0.6,2.0,3.98,18.7,5.9,-4.8,1.0,1.21,3.1,600310.0,"(4.22, 6.08)"
PDD,7.49,31.7,21.01,0.47,0.0,2.88,,32.8,5.7,537.6,,0.77,24.3,8160000.0,"(2.83, 3.16)"
PECO,1.65,75.53,80.95,8.21,0.85,0.42,3.55,2.2,2.8,359.0,0.45,,8.4,537520.0,"(3.65, 7.93)"
PEGA,27.9,,21.35,,4.54,,0.27,-187.8,-48.4,192.3,39.5,1.05,-26.2,392270.0,"(3.72, 3.68)"
PENN,1.15,21.3,14.62,10.47,3.31,1.26,,6.0,6.5,-49.8,0.1,2.23,3.5,2210000.0,"(8.08, 5.63)"
PEP,13.92,26.82,22.07,3.55,2.28,6.48,2.65,48.9,16.9,-60.5,0.1,0.54,10.3,4730000.0,"(0.82, 2.38)"
PFG,1.76,3.83,9.54,0.57,0.41,18.82,3.55,45.4,8.5,-102.2,0.4,1.32,34.8,1560000.0,"(2.8, 4.35)"
PGNY,7.75,103.19,58.09,8.9,0.0,0.3,,9.2,7.8,-77.4,0.8,1.58,3.9,954570.0,"(7.27, 6.22)"
PI,208.13,,61.22,,17.96,,,,-6.6,99.4,1.7,2.26,-9.4,469890.0,"(13.07, 6.86)"
PINC,1.59,21.16,10.9,2.92,0.24,1.46,2.72,7.7,7.5,-13.2,0.9,0.28,12.9,581550.0,"(2.04, 4.14)"
PLAY,4.57,13.64,9.76,2.32,3.41,2.5,,36.8,23.0,-81.7,1.1,1.95,7.1,1020000.0,"(10.76, 4.43)"
PLTK,,13.35,10.2,0.62,,0.69,,-101.9,20.8,-4.9,0.1,,10.5,1070000.0,"(7.61, 3.27)"
PLUG,1.78,,,,0.14,,,-16.9,-14.7,-14.4,0.8,1.83,,17040000.0,"(15.42, 4.74)"
PLXS,2.26,16.94,14.01,2.08,0.45,5.54,,14.5,10.2,82.7,0.9,1.11,3.8,182220.0,"(2.55, 3.78)"
PNFP,0.81,7.96,7.2,0.25,0.08,7.17,1.54,10.6,16.1,3.0,2.21,1.15,39.7,581650.0,"(2.51, 3.23)"
PODD,44.23,5418.57,147.44,,2.94,0.06,,1.0,1.7,-41.0,0.1,0.77,0.4,402790.0,"(3.47, 5.96)"
POOL,10.89,18.46,19.27,2.54,1.12,18.76,1.16,61.6,30.1,-32.8,0.2,0.95,12.0,440930.0,"(9.86, 8.46)"
POWI,6.09,27.59,28.06,9.58,0.0,2.92,0.94,22.5,22.2,-40.2,0.7,1.19,26.2,317950.0,"(5.77, 10.23)"
PPBI,0.85,8.51,8.76,1.06,0.12,2.98,5.2,10.1,18.9,-13.8,0.1,1.23,36.5,469490.0,"(2.08, 4.13)"
PPC,1.97,7.67,10.06,,1.12,3.08,,26.6,14.9,-537.9,0.1,0.99,4.3,838930.0,"(8.12, 3.93)"
PRFT,5.62,23.45,13.37,1.56,0.96,2.9,,27.8,13.4,525.7,0.3,1.57,11.5,201310.0,"(3.38, 5.67)"
PRGS,6.18,26.56,12.62,13.28,1.55,2.15,1.23,25.3,10.8,61.6,1.4,0.95,15.8,289010.0,"(7.92, 11.58)"
PROK,,,,,,,,,,30.4,0.1,,,112550.0,"(2.96, 12.75)"
PRTA,3.81,,,,0.0,,,-25.0,-19.8,118.2,4.73,0.44,,534510.0,"(6.77, 5.77)"
PRVA,5.98,,107.77,,0.0,,,-1.9,-2.5,238.9,2.8,,-0.6,743870.0,"(2.52, 3.51)"
PSEC,0.67,83.38,7.41,16.68,,0.08,10.79,,,-71.5,27.12,,,1350000.0,"(1.99, 4.28)"
PSMT,2.03,19.68,15.77,1.31,0.16,3.44,1.36,,10.1,7.3,11.7,0.89,,108910.0,"(1.59, 4.43)"
PSNY,71.5,,,,5.98,,,,-116.3,,51.45,,-75.3,2270000.0,"(7.04, 3.47)"
PSNYW,,,,,,,,,,,,,,98420.0,"(0.11, 0.57)"
PTC,5.76,40.58,22.33,3.3,0.56,2.89,,15.3,10.0,62.5,1.0,1.19,17.6,703040.0,"(1.32, 1.98)"
PTCT,,,,,,,,264.1,-41.7,-16.0,0.1,0.4,-80.0,695020.0,"(7.13, 7.19)"
PTEN,1.64,18.06,5.51,,0.5,0.7,2.53,9.6,7.9,126.9,1.0,2.32,5.8,3120000.0,"(7.06, 4.81)"
PTON,126.33,,,,55.2,,,-418.4,-127.8,29.2,0.88,1.95,-90.3,12950000.0,"(11.71, 2.81)"
PTVE,0.98,4.79,7.71,,2.67,1.78,4.7,23.2,8.6,-21.3,0.2,,5.1,186900.0,"(4.01, 8.34)"
PYCR,3.17,,55.27,,0.0,,,-7.6,-11.2,-7.0,0.6,,-20.0,490230.0,"(5.14, 18.34)"
PYPL,4.08,34.66,12.91,2.38,0.53,2.1,,12.0,9.3,19.0,0.24,1.3,8.8,13640000.0,"(1.96, 1.62)"
PZZA,,41.08,23.42,4.96,,1.9,2.16,-26.1,28.1,1.2,1.0,1.11,3.2,569610.0,"(4.94, 2.98)"
QCOM,6.83,10.94,10.02,,0.9,10.46,2.62,71.1,41.2,-32.5,0.1,1.28,27.4,7870000.0,"(0.79, 1.11)"
QDEL,1.12,7.8,14.18,1.08,0.53,10.64,,12.9,8.4,-93.2,0.9,0.29,16.8,612230.0,"(4.41, 4.39)"
QFIN,1.0,4.28,3.48,,0.01,4.0,4.8,23.0,19.7,-34.3,5.55,0.44,23.6,1320000.0,"(2.29, 2.65)"
QLYS,15.41,42.92,25.03,5.36,0.0,2.75,,29.4,36.3,35.1,1.0,0.62,22.1,354870.0,"(8.17, 7.88)"
QRTEB,0.63,1.92,,,,2.86,,,,,88.19,,,16660.0,"(4.32, 1.72)"
QRVO,2.29,22.23,21.59,,0.0,4.26,,10.5,16.3,-108.1,0.5,1.46,11.1,1360000.0,"(2.64, 1.93)"
RARE,8.14,,,,0.0,,,-123.3,-185.6,-21.2,0.4,0.97,,631390.0,"(4.63, 4.88)"
RCM,2.01,,38.03,,0.64,,,4.0,10.3,-233.2,0.8,0.84,3.4,3210000.0,"(5.71, 5.4)"
REG,1.65,20.92,27.32,,0.61,2.81,4.42,7.9,4.8,40.6,0.4,1.17,39.4,927010.0,"(1.44, 2.63)"
REGN,3.55,19.67,16.51,,0.12,38.24,,20.5,16.6,-46.6,0.5,0.23,35.6,623600.0,"(1.15, 1.92)"
RELY,5.41,,,,0.0,,,-24.2,-25.4,-13.0,2.5,,-17.4,1020000.0,"(1.95, 2.65)"
REYN,2.95,21.39,16.98,17.55,1.12,1.23,3.5,14.3,8.4,2.0,74.21,,6.8,370020.0,"(5.82, 8.52)"
RGEN,4.92,52.12,50.16,8.7,0.15,3.24,,10.2,8.7,69.8,0.6,1.1,23.2,543360.0,"(7.48, 7.61)"
RGLD,2.83,32.49,32.49,4.09,0.21,3.64,1.27,8.9,7.6,-17.3,0.2,0.65,39.6,474190.0,"(4.31, 5.96)"
RIVN,0.92,,,,0.0,,,-42.0,-45.6,84.6,0.1,,,30280000.0,"(4.39, 1.16)"
RKLB,2.77,,,,0.18,,,-19.4,-17.4,,0.9,,-64.4,3790000.0,"(5.93, 5.81)"
RLAY,2.04,,,,0.0,,,-32.5,-31.5,15.1,1.2,,,1430000.0,"(15.05, 12.47)"
RMBS,5.7,,23.51,,0.01,,,-1.8,-3.0,178.3,0.2,1.31,-3.1,922100.0,"(2.8, 3.21)"
RNST,0.81,10.52,9.34,1.05,0.2,2.95,2.83,7.8,16.1,24.3,0.2,1.14,30.7,215620.0,"(1.59, 4.02)"
RNW,1.4,,29.31,,4.25,,,-7.5,4.3,30.5,15.25,,-12.3,973110.0,"(4.93, 4.72)"
ROIV,5.84,,,,0.43,,,-96.6,-68.6,-19.1,14.5,,,2410000.0,"(2.55, 4.41)"
ROKU,3.14,,,,0.03,,,-18.1,-19.7,,0.1,1.74,-15.9,7910000.0,"(9.74, 1.5)"
ROST,8.53,23.59,18.59,2.9,0.59,4.38,1.3,36.0,27.6,-8.7,0.1,1.0,7.9,2260000.0,"(1.19, 1.78)"
RPD,,,34.63,,,,,91.2,-16.4,75.6,1.5,1.13,-18.2,1130000.0,"(7.14, 3.67)"
RPRX,2.57,297.91,8.46,31.19,1.26,0.11,2.44,0.7,2.4,,0.1,,1.9,1660000.0,"(4.41, 4.44)"
RRR,54.71,14.46,18.31,,68.15,2.88,2.41,462.4,17.1,-22.4,0.2,2.18,12.3,406200.0,"(3.85, 5.03)"
RUM,10.09,,,,0.0,,,,-24.0,-327.4,6.0,,,1040000.0,"(10.88, 3.14)"
RUN,0.68,27.97,,,1.26,0.76,,2.7,-4.4,253.8,1.7,2.37,7.5,7220000.0,"(15.79, 4.47)"
RUSHA,1.65,7.66,11.14,,0.76,6.85,1.6,23.9,12.6,47.0,0.4,0.96,5.5,224850.0,"(2.8, 5.8)"
RUSHB,1.72,8.04,,,,6.85,1.53,,,43.3,60.3,,,16640.0,"(3.37, 9.7)"
RVMD,2.94,,,,0.0,,,-41.2,-37.6,11.3,0.8,,,1240000.0,"(8.4, 5.91)"
RVNC,177.87,,,,30.17,,,-786.7,-87.3,-96.5,1.1,0.88,,1600000.0,"(15.33, 7.6)"
RXDX,7.52,,,,0.0,,,-43.4,,-17.6,0.2,,,579790.0,"(12.58, 7.14)"
RYAAY,3.09,14.23,14.83,,0.8,6.36,,22.1,-1.4,309.4,9.1,1.46,13.5,396530.0,"(0.36, 1.94)"
SAGE,2.06,,,,0.0,,,-37.0,-43.7,-16.8,0.1,1.15,,494250.0,"(9.97, 10.49)"
SAIA,4.55,20.18,19.17,2.16,0.02,13.4,,24.7,22.3,-3.8,0.2,1.52,12.8,404800.0,"(14.87, 9.66)"
SANM,1.62,12.24,7.9,,0.17,4.68,,15.2,13.6,66.8,1.8,1.17,3.4,521059.99999999994,"(2.87, 3.08)"
SBAC,,59.06,42.52,3.96,,4.22,1.37,-8.6,11.3,113.9,0.4,0.51,17.5,766880.0,"(1.17, 1.63)"
SBCF,0.94,12.77,7.92,1.42,0.05,1.67,3.19,7.6,18.2,-45.6,0.9,1.13,28.0,718590.0,"(5.91, 4.99)"
SBLK,0.17,2.18,5.6,,0.64,9.82,11.23,27.4,18.5,74.9,19.8,1.1,39.4,1600000.0,"(6.72, 3.98)"
SBNY,0.57,3.71,4.43,0.59,0.07,18.78,4.02,14.6,17.8,43.4,0.2,1.68,44.8,1710000.0,"(6.11, 2.22)"
SBRA,0.85,,21.17,,0.82,,10.7,-2.4,0.6,-243.7,0.4,1.32,-12.4,1870000.0,"(4.72, 5.75)"
SBUX,,34.38,24.27,1.91,,2.88,2.14,-38.2,57.9,7.0,0.1,0.95,10.1,6100000.0,"(1.03, 1.93)"
SEDG,8.14,190.6,27.23,4.54,0.0,1.66,,4.5,2.9,-50.9,0.6,1.45,3.0,1030000.0,"(4.73, 2.53)"
SEIC,3.8,15.99,14.01,1.33,0.0,3.45,1.56,24.4,17.5,-19.6,7.9,1.03,23.9,474310.0,"(1.14, 2.67)"
SFM,3.31,13.75,12.27,2.01,0.25,2.38,,25.4,20.7,31.1,0.5,0.36,4.1,1370000.0,"(15.11, 11.33)"
SFNC,0.74,9.16,8.85,1.83,0.12,2.07,4.22,8.1,17.9,55.2,0.7,0.86,29.8,515640.0,"(2.8, 6.79)"
SGEN,13.12,,,,0.0,,,-21.1,-22.1,16.5,0.3,0.53,-31.1,1160000.0,"(1.79, 2.85)"
SGML,18.26,,6.84,,0.0,,,-31.9,,-4.4,0.72,0.4,,724450.0,"(4.15, 2.95)"
SGRY,1.54,,35.93,,1.31,,,-4.0,7.0,,0.2,2.76,-2.2,666260.0,"(8.72, 7.02)"
SHC,13.58,,17.78,,5.72,,,-41.8,-6.8,-994.6,0.4,,-23.3,2320000.0,"(1.88, 2.22)"
SHLS,8.7,44.62,22.03,0.62,0.82,0.47,,149.8,10.8,,1.0,,39.0,2740000.0,"(6.4, 2.62)"
SHOO,3.1,12.52,12.55,1.25,0.0,2.76,2.43,25.9,26.0,-48.9,1.1,1.16,10.2,856570.0,"(5.33, 4.56)"
SIGI,2.39,26.04,12.4,1.94,0.22,3.54,1.3,9.1,10.1,-12.7,0.8,0.64,6.0,271540.0,"(2.22, 4.82)"
SILK,9.53,,,,0.46,,,-63.1,-21.9,20.3,2.0,1.24,-39.7,438350.0,"(6.02, 5.1)"
SIMO,2.76,6.86,11.16,1.37,0.0,8.92,3.27,25.6,23.7,-59.0,7.4,0.92,18.2,342710.0,"(6.35, 5.17)"
SIRI,,11.9,11.31,3.18,,0.3,2.67,-34.3,26.9,17.0,0.3,0.98,13.5,16030000.000000002,"(26.89, 11.05)"
SITM,3.96,127.64,48.27,18.5,0.0,1.02,,3.4,2.3,-107.9,4.9,1.85,8.2,247900.0,"(5.48, 3.57)"
SIVB,0.28,2.3,2.68,0.29,0.43,25.35,,12.4,19.8,-25.6,0.1,1.65,26.6,1680000.0,"(5.44, 1.91)"
SLAB,3.91,65.46,31.5,18.18,0.38,2.58,,5.6,4.2,451.5,0.7,1.11,8.9,432400.0,"(7.86, 5.66)"
SLM,2.03,7.21,4.45,0.25,3.55,1.7,3.59,27.4,10.3,-131.6,0.2,1.25,22.6,1990000.0,"(2.32, 2.78)"
SMCI,2.61,8.49,9.33,0.85,0.09,10.52,,37.7,14.0,300.4,12.8,1.25,8.7,1560000.0,"(10.08, 2.97)"
SMPL,2.43,29.53,20.01,4.01,0.27,1.22,,8.6,8.7,64.7,1.8,0.78,10.4,610130.0,"(3.31, 5.28)"
SMTC,2.34,12.75,12.87,1.11,0.57,2.29,,19.2,14.1,-32.4,0.1,1.74,18.9,1150000.0,"(9.41, 5.17)"
SNEX,1.54,7.9,10.06,0.42,5.38,11.59,,21.8,3.3,77.5,3.5,0.92,0.4,127870.0,"(0.68, 0.92)"
SNPS,9.66,59.06,29.4,3.48,0.0,6.05,,16.9,18.5,-12.2,0.2,1.18,18.2,796260.0,"(1.25, 2.38)"
SNY,1.49,13.35,9.44,1.09,0.29,3.52,4.05,,9.0,50.7,16.4,0.54,,1980000.0,"(0.12, 1.39)"
SOFI,0.97,,,,1.06,,,-6.9,4.9,76.4,1.3,,-46.7,37910000.0,"(8.8, 2.02)"
SONO,3.85,149.84,42.62,24.56,0.0,0.13,,3.0,15.7,-34.1,1.5,1.85,1.1,1910000.0,"(9.58, 6.24)"
SPLK,,,25.27,,,,,235.9,-34.7,90.7,0.3,1.32,-27.3,1940000.0,"(3.64, 2.82)"
SPSC,9.52,94.73,44.56,6.32,0.0,1.49,,10.8,10.2,25.2,0.8,0.79,12.2,140740.0,"(1.88, 4.8)"
SPT,22.33,,290.96,,0.0,,,-35.5,-36.6,-18.4,1.8,,-19.8,635890.0,"(12.18, 8.89)"
SPWR,4.73,29.65,22.54,0.57,0.91,0.51,,-36.1,0.8,272.2,0.3,1.95,-8.9,4070000.0000000005,"(9.14, 3.88)"
SRAD,4.09,67.53,47.63,,0.3,0.17,,6.9,3.1,241.0,3.0,,7.7,177270.0,"(2.0, 22.57)"
SRCL,1.64,70.92,18.07,6.45,0.62,0.61,,2.4,3.3,332.3,0.1,1.25,2.1,364070.0,"(1.5, 3.79)"
SRPT,32.6,,29.76,,4.01,,,-117.3,-35.1,12.4,0.2,0.98,-75.4,1180000.0,"(9.65, 6.83)"
SSB,1.03,10.51,8.81,0.88,0.08,6.58,2.89,9.8,18.5,23.5,0.8,0.81,35.5,484730.0,"(2.33, 3.6)"
SSNC,2.26,21.88,10.11,2.78,1.17,2.48,1.47,10.8,6.9,-13.9,0.1,1.43,12.3,1390000.0,"(1.34, 2.13)"
SSRM,0.78,15.32,15.67,,0.11,0.89,2.06,5.4,6.1,-20.8,0.6,0.9,16.9,1470000.0,"(3.19, 4.46)"
STAA,8.57,75.21,46.97,2.51,0.0,0.79,,12.6,11.1,19.1,0.1,1.2,13.6,810030.0,"(9.94, 5.88)"
STLD,2.52,5.63,14.51,0.2,0.38,20.8,1.45,50.4,35.3,-34.2,5.8,1.52,17.4,2370000.0,"(2.68, 1.87)"
STNE,1.09,,2.75,,0.47,,,-10.7,11.3,115.4,1.63,2.21,-13.8,4800000.0,"(9.49, 4.88)"
